"Geslacht";"Leeftijd";"Migratieachtergrond ";"Hoogst behaald onderwijsniveau";"Perioden";"Bevolking (x 1000)"
"Totaal mannen en vrouwen";"25 tot 35 jaar";"Westerse migratieachtergrond";"121 Vmbo-b/k, mbo1";"2021 2e kwartaal";"       9"
"Totaal mannen en vrouwen";"25 tot 35 jaar";"Westerse migratieachtergrond";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2021 2e kwartaal";"       4"
"Totaal mannen en vrouwen";"25 tot 35 jaar";"Westerse migratieachtergrond";"211 Mbo2 en mbo3";"2021 2e kwartaal";"      24"
"Totaal mannen en vrouwen";"25 tot 35 jaar";"Westerse migratieachtergrond";"212 Mbo4";"2021 2e kwartaal";"      19"
"Totaal mannen en vrouwen";"25 tot 35 jaar";"Westerse migratieachtergrond";"213 Havo, vwo";"2021 2e kwartaal";"      17"
"Totaal mannen en vrouwen";"25 tot 35 jaar";"Westerse migratieachtergrond";"31 Hbo-, wo-bachelor";"2021 2e kwartaal";"      62"
"Totaal mannen en vrouwen";"25 tot 35 jaar";"Westerse migratieachtergrond";"32 Hbo-, wo-master, doctor";"2021 2e kwartaal";"      80"
"Totaal mannen en vrouwen";"25 tot 35 jaar";"Westerse migratieachtergrond";"Weet niet of onbekend";"2021 2e kwartaal";"       7"
"Totaal mannen en vrouwen";"25 tot 35 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2021 2e kwartaal";"     400"
"Totaal mannen en vrouwen";"25 tot 35 jaar";"Niet-westerse migratieachtergrond";"11 Basisonderwijs";"2021 2e kwartaal";"      24"
"Totaal mannen en vrouwen";"25 tot 35 jaar";"Niet-westerse migratieachtergrond";"121 Vmbo-b/k, mbo1";"2021 2e kwartaal";"      31"
"Totaal mannen en vrouwen";"25 tot 35 jaar";"Niet-westerse migratieachtergrond";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2021 2e kwartaal";"      23"
"Totaal mannen en vrouwen";"25 tot 35 jaar";"Niet-westerse migratieachtergrond";"211 Mbo2 en mbo3";"2021 2e kwartaal";"      37"
"Totaal mannen en vrouwen";"25 tot 35 jaar";"Niet-westerse migratieachtergrond";"212 Mbo4";"2021 2e kwartaal";"      59"
"Totaal mannen en vrouwen";"25 tot 35 jaar";"Niet-westerse migratieachtergrond";"213 Havo, vwo";"2021 2e kwartaal";"      39"
"Totaal mannen en vrouwen";"25 tot 35 jaar";"Niet-westerse migratieachtergrond";"31 Hbo-, wo-bachelor";"2021 2e kwartaal";"     110"
"Totaal mannen en vrouwen";"25 tot 35 jaar";"Niet-westerse migratieachtergrond";"32 Hbo-, wo-master, doctor";"2021 2e kwartaal";"      63"
"Totaal mannen en vrouwen";"25 tot 35 jaar";"Niet-westerse migratieachtergrond";"Weet niet of onbekend";"2021 2e kwartaal";"      13"
"Totaal mannen en vrouwen";"35 tot 45 jaar";"Nederlandse achtergrond";"Totaal";"2021 2e kwartaal";"    1400"
"Totaal mannen en vrouwen";"35 tot 45 jaar";"Nederlandse achtergrond";"11 Basisonderwijs";"2021 2e kwartaal";"      27"
"Totaal mannen en vrouwen";"35 tot 45 jaar";"Nederlandse achtergrond";"121 Vmbo-b/k, mbo1";"2021 2e kwartaal";"      79"
"Totaal mannen en vrouwen";"35 tot 45 jaar";"Nederlandse achtergrond";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2021 2e kwartaal";"      45"
"Totaal mannen en vrouwen";"35 tot 45 jaar";"Nederlandse achtergrond";"211 Mbo2 en mbo3";"2021 2e kwartaal";"     180"
"Totaal mannen en vrouwen";"35 tot 45 jaar";"Nederlandse achtergrond";"212 Mbo4";"2021 2e kwartaal";"     272"
"Totaal mannen en vrouwen";"35 tot 45 jaar";"Nederlandse achtergrond";"213 Havo, vwo";"2021 2e kwartaal";"      80"
"Totaal mannen en vrouwen";"35 tot 45 jaar";"Nederlandse achtergrond";"31 Hbo-, wo-bachelor";"2021 2e kwartaal";"     443"
"Totaal mannen en vrouwen";"35 tot 45 jaar";"Nederlandse achtergrond";"32 Hbo-, wo-master, doctor";"2021 2e kwartaal";"     264"
"Totaal mannen en vrouwen";"35 tot 45 jaar";"Nederlandse achtergrond";"Weet niet of onbekend";"2021 2e kwartaal";"      10"
"Totaal mannen en vrouwen";"35 tot 45 jaar";"Westerse migratieachtergrond";"Totaal";"2021 2e kwartaal";"     267"
"Totaal mannen en vrouwen";"35 tot 45 jaar";"Westerse migratieachtergrond";"11 Basisonderwijs";"2021 2e kwartaal";"      10"
"Totaal mannen en vrouwen";"35 tot 45 jaar";"Westerse migratieachtergrond";"121 Vmbo-b/k, mbo1";"2021 2e kwartaal";"      11"
"Totaal mannen en vrouwen";"35 tot 45 jaar";"Westerse migratieachtergrond";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2021 2e kwartaal";"       7"
"Totaal mannen en vrouwen";"35 tot 45 jaar";"Westerse migratieachtergrond";"211 Mbo2 en mbo3";"2021 2e kwartaal";"      37"
"Totaal mannen en vrouwen";"35 tot 45 jaar";"Westerse migratieachtergrond";"212 Mbo4";"2021 2e kwartaal";"      24"
"Totaal mannen en vrouwen";"35 tot 45 jaar";"Westerse migratieachtergrond";"213 Havo, vwo";"2021 2e kwartaal";"      20"
"Totaal mannen en vrouwen";"35 tot 45 jaar";"Westerse migratieachtergrond";"31 Hbo-, wo-bachelor";"2021 2e kwartaal";"      76"
"Totaal mannen en vrouwen";"35 tot 45 jaar";"Westerse migratieachtergrond";"32 Hbo-, wo-master, doctor";"2021 2e kwartaal";"      73"
"Totaal mannen en vrouwen";"35 tot 45 jaar";"Westerse migratieachtergrond";"Weet niet of onbekend";"2021 2e kwartaal";"       8"
"Totaal mannen en vrouwen";"35 tot 45 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2021 2e kwartaal";"     386"
"Totaal mannen en vrouwen";"35 tot 45 jaar";"Niet-westerse migratieachtergrond";"11 Basisonderwijs";"2021 2e kwartaal";"      45"
"Totaal mannen en vrouwen";"35 tot 45 jaar";"Niet-westerse migratieachtergrond";"121 Vmbo-b/k, mbo1";"2021 2e kwartaal";"      27"
"Totaal mannen en vrouwen";"35 tot 45 jaar";"Niet-westerse migratieachtergrond";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2021 2e kwartaal";"      18"
"Totaal mannen en vrouwen";"35 tot 45 jaar";"Niet-westerse migratieachtergrond";"211 Mbo2 en mbo3";"2021 2e kwartaal";"      52"
"Totaal mannen en vrouwen";"35 tot 45 jaar";"Niet-westerse migratieachtergrond";"212 Mbo4";"2021 2e kwartaal";"      50"
"Totaal mannen en vrouwen";"35 tot 45 jaar";"Niet-westerse migratieachtergrond";"213 Havo, vwo";"2021 2e kwartaal";"      25"
"Totaal mannen en vrouwen";"35 tot 45 jaar";"Niet-westerse migratieachtergrond";"31 Hbo-, wo-bachelor";"2021 2e kwartaal";"      90"
"Totaal mannen en vrouwen";"35 tot 45 jaar";"Niet-westerse migratieachtergrond";"32 Hbo-, wo-master, doctor";"2021 2e kwartaal";"      55"
"Totaal mannen en vrouwen";"35 tot 45 jaar";"Niet-westerse migratieachtergrond";"Weet niet of onbekend";"2021 2e kwartaal";"      24"
"Totaal mannen en vrouwen";"45 tot 55 jaar";"Nederlandse achtergrond";"Totaal";"2021 2e kwartaal";"    1743"
"Totaal mannen en vrouwen";"45 tot 55 jaar";"Nederlandse achtergrond";"11 Basisonderwijs";"2021 2e kwartaal";"      51"
"Totaal mannen en vrouwen";"45 tot 55 jaar";"Nederlandse achtergrond";"121 Vmbo-b/k, mbo1";"2021 2e kwartaal";"     146"
"Totaal mannen en vrouwen";"45 tot 55 jaar";"Nederlandse achtergrond";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2021 2e kwartaal";"      65"
"Totaal mannen en vrouwen";"45 tot 55 jaar";"Nederlandse achtergrond";"211 Mbo2 en mbo3";"2021 2e kwartaal";"     239"
